Table: Total Renewable Electricity Net Generation (Billion Kilowatthours);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
North America;;554.52133;560.11265;598.7188;628.96424;643.32456;625.03803;638.14813;603.08562;569.54608;649.18942;686.62754;699.81245;681.49125;718.95879;699.70669;762.28479;822.4641;823.8661;771.10088;792.4868;764.34044;674.10203;745.30691;740.82653;746.10069;777.86962;799.95072;779.41981;821.68797;836.68664
Bermuda;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Canada;;252.233;264.94;257.217;265.344;285.593;302.394;309.427;315.388;305.826;290.954;297.6619;309.0989;317.48775;325.0032;332.0029;338.03185;357.7526;353.8416;335.6314;350.185;363.035;338.535;356.085;343.514;346.754;370.1554;362.4981;377.947;380.899;371.008
Greenland;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Mexico;;17.6;25.274;23.964;21.873;24.782;27.609;23.213;22.575;25.635;29.073;28.1119;28.20125;33.4258;33.76115;27.376;35.351;38.18255;32.77639;31.474;39.319;40.03295;35.931;32.257;27.9749;33.62965;37.2425;38.7063;36.4942;48.0533;36.0266
Saint Pierre and Miquelon;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
United States;;284.68833;269.89865;317.5378;341.74724;332.94955;295.03503;305.50813;265.12262;238.08508;329.16242;360.85374;362.5123;330.5777;360.19444;340.32779;388.90194;426.52895;437.24811;403.99548;402.9828;361.27249;299.63603;356.96491;369.33763;365.71704;370.47172;398.74632;364.97861;392.73567;429.65204
South America;;206.0008;208.6957;228.0789;247.046;270.6359;291.6463;315.3645;329.3148;342.5006;350.8871;369.48921;390.13656;398.55772;428.28053;454.00064;469.84332;491.59933;516.84423;525.80314;529.63401;559.67498;525.33375;552.27122;577.4231;602.75632;636.19891;666.80519;692.0665;698.21238;720.94492
Antarctica;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.002;0.002;0.002;0.002;0.004
Antigua and Barbuda;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Argentina;;17.413;16.482;18.887;18.507;20.556;20.54;20.899;21.723;14.983;12.935;17.797;16.153;19.286;23.728;27.197;26.674;23.023;28.169;26.642;21.721;29.149;37.29;36.391;34.539;31.30407;34.93508;38.93809;31.6671;31.495;35.1311
Aruba;;--;--;--;--;--;--;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.03
Bahamas, The;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Barbados;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Belize;;0.04;0.04;0.04;0.04;0.04;0.04;0.04;0.04;0.04;0.04;0.04;0.04;0.04;0.04;0.04;0.08;0.1;0.108;0.1052;0.1152;0.13323;0.1316;0.12847;0.10138;0.10345;0.10881;0.21796;0.21763;0.24468;0.23823
Bolivia;;1.115;1.166;1.215;1.198;1.215;1.183;1.165;1.164;1.296;1.285;1.27;1.411;1.377;1.401;1.377;1.31;1.485;1.607;1.548;1.825;2.003;2.158;2.231;2.017;2.178;1.994;2.19728;2.35611;2.347;2.333
Brazil;;130.3588;131.4337;142.0099;153.061;167.9659;179.6363;183.9005;187.3778;200.5286;205.9651;208.2045;219.4125;225.6196;237.0745;245.3985;256.6043;269.3925;282.9558;295.58941;297.8906;308.582;272.9973;293.1406;314.2062;330.0047;348.3271;360.1408;387.7675;385.2268;410.2582
Cayman Islands;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
