Table: Total Primary Energy Production (Quadrillion Btu);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
North America;;83.17578;83.79792;84.47328;82.14801;88.08493;87.56627;86.11253;87.49605;89.71786;90.0587;91.76527;92.29119;92.38757;91.76361;95.2109;96.08973;98.49089;99.03713;99.65136;98.50889;98.8279;99.33522;99.9145;98.45374;98.86741;98.34426;100.34735;100.72237;101.29933;99.50368
Bermuda;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Canada;;10.27567;10.09397;10.09746;10.3579;11.33985;12.01997;11.92503;12.56707;13.41195;13.32737;13.40411;13.95738;14.4607;15.37673;16.33795;16.83012;17.22309;17.47511;17.43394;17.67692;18.12394;18.01685;18.35294;18.32168;18.67872;18.89444;19.25278;19.56864;19.02011;18.24569
Greenland;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Mexico;;5.72474;6.75331;7.8072;7.67598;7.9055;7.84801;7.12104;7.38652;7.38719;7.41127;7.65652;7.97143;7.97136;8.07156;8.14731;8.08564;8.78191;9.09007;9.34119;9.08974;9.37198;9.58378;10.84544;10.09227;10.00116;10.02253;10.30286;9.75253;9.16497;8.61011
Saint Pierre and Miquelon;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
United States;;67.17537;66.95064;66.56862;64.11413;68.83957;67.6983;67.06646;67.54247;68.91872;69.32006;70.70464;70.36238;69.95551;68.31532;70.72565;71.17397;72.48589;72.47195;72.87622;71.74223;71.33198;71.73459;70.71611;70.03979;70.18753;69.42728;70.79172;71.40121;73.11426;72.64788
Central & South America;;12.0647;12.25716;12.0939;12.33269;13.29067;13.6129;14.44547;14.33872;15.22683;15.82599;16.67633;17.56504;17.84261;18.7568;19.75129;21.0803;22.45395;24.08148;24.72296;24.44689;25.96676;25.89595;25.22964;25.63226;27.02526;27.99721;29.04182;28.98207;29.54661;29.46767
Antarctica;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00002;0.00002;0.00002;0.00002;0.00004
Antigua and Barbuda;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Argentina;;1.59757;1.6708;1.7293;1.78501;1.85245;1.83444;1.84348;1.83397;1.90555;1.98481;2.01466;2.10394;2.28032;2.47743;2.68678;2.91088;3.02697;3.28295;3.37596;3.4068;3.491;3.65922;3.57354;3.74522;3.75395;3.74528;3.80689;3.6507;3.58511;3.51691
Aruba;;--;--;--;--;--;--;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00029
Bahamas, The;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Barbados;;0.00037;0.00037;0.00251;0.00256;0.00472;0.0047;0.0047;0.00322;0.00374;0.0034;0.00371;0.0034;0.00371;0.00383;0.00345;0.00375;0.00322;0.003;0.00451;0.00523;0.00436;0.0038;0.00322;0.00322;0.00323;0.00322;0.00329;0.00345;0.00344;0.00272
Belize;;0.00042;0.00042;0.00042;0.00042;0.00042;0.00042;0.00042;0.00042;0.00041;0.00042;0.00042;0.00042;0.00041;0.00041;0.00041;0.00082;0.00103;0.0011;0.00107;0.00118;0.00136;0.00136;0.00131;0.00104;0.00104;0.00109;0.00688;0.00842;0.00977;0.01067
Bolivia;;0.14792;0.13575;0.15157;0.1507;0.15659;0.15109;0.14833;0.14822;0.15788;0.16899;0.1703;0.16899;0.17832;0.17345;0.17634;0.19741;0.20105;0.20527;0.21099;0.18599;0.21615;0.27675;0.32101;0.36306;0.50472;0.5908;0.62028;0.65633;0.65734;0.57168
Brazil;;1.90238;1.99755;2.21678;2.53638;3.04125;3.37817;3.40767;3.44631;3.53616;3.7218;3.75554;3.90962;3.95893;4.08882;4.26153;4.46374;4.82869;5.05451;5.4701;5.87356;6.35314;6.1421;6.69822;7.05309;7.14398;7.67112;8.00255;8.30036;8.54621;8.9132
Cayman Islands;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Chile;;0.28095;0.29549;0.2704;0.26663;0.27733;0.28542;0.2684;0.27513;0.27485;0.27416;0.31213;0.30438;0.32676;0.32973;0.32611;0.34802;0.33634;0.33502;0.29489;0.2298;0.2822;0.31704;0.31524;0.33953;0.30387;0.38834;0.40578;0.33508;0.36614;0.36039
Colombia;;0.66083;0.67285;0.74996;0.78786;0.93196;1.0209;1.38934;1.55572;1.61884;1.78465;1.93102;1.87428;1.89924;1.99048;2.01114;2.37751;2.61501;2.84251;3.05151;3.20322;3.07597;3.08288;2.89079;3.12005;3.23033;3.37883;3.61126;3.75525;4.04421;4.19533
Costa Rica;;0.02179;0.02363;0.02469;0.02951;0.0311;0.02872;0.02994;0.03099;0.03118;0.03429;0.03483;0.03787;0.03673;0.04041;0.04366;0.04103;0.0443;0.05478;0.04964;0.06082;0.06861;0.06942;0.07353;0.07401;0.07893;0.07845;0.07956;0.08087;0.08527;0.0848
Cuba;;0.02426;0.03061;0.03616;0.04105;0.04798;0.05409;0.05749;0.05792;0.05216;0.05269;0.05025;0.05069;0.05732;0.05948;0.07015;0.07292;0.08504;0.1125;0.10078;0.11997;0.1298;0.13775;0.13344;0.15069;0.15763;0.14145;0.1401;0.14522;0.17192;0.16189
Dominica;;0.00009;0.0001;0.00009;0.00016;0.00017;0.00015;0.00014;0.00015;0.00017;0.00017;0.00017;0.00017;0.00017;0.00016;0.00018;0.0002;0.0002;0.0002;0.00028;0.00033;0.00033;0.00028;0.00031;0.0003;0.00034;0.00027;0.00027;0.00021;0.0002;0.0002
Dominican Republic;;0.00671;0.00923;0.00869;0.00908;0.00667;0.01122;0.00982;0.01031;0.00898;0.0065;0.00433;0.00602;0.00573;0.01187;0.00589;0.00657;0.00922;0.00719;0.00771;0.01148;0.00806;0.00756;0.00924;0.01266;0.01671;0.01935;0.01763;0.01717;0.01391;0.01456
Ecuador;;0.46306;0.47481;0.476;0.54282;0.60657;0.66153;0.69176;0.43247;0.71737;0.66711;0.68234;0.71301;0.76344;0.82095;0.87375;0.91937;0.94378;0.92356;0.89684;0.89752;0.95361;0.98458;0.94188;0.98126;1.24176;1.24585;1.26146;1.22754;1.23426;1.16919
El Salvador;;0.01603;0.01611;0.01737;0.01555;0.01787;0.01666;0.01684;0.01628;0.01784;0.01948;0.01905;0.01299;0.01408;0.01569;0.01617;0.0193;0.02361;0.01929;0.0203;0.02383;0.01961;0.02147;0.02122;0.02516;0.02387;0.02717;0.03126;0.03115;0.03545;0.02996
Falkland Islands (Islas Malvinas);;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00002;0.00002
French Guiana;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0001;0.0001
Grenada;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Guadeloupe;;0;0;0;0;0;0;0.00031;0.00031;0.00031;0.00031;0.00031;0.00031;0.00031;0.00032;0.00032;0.00032;0.00032;0.00036;0.00041;0.00041;0.00051;0.00052;0.00061;0.00154;0.0015;0.0015;0.00149;0.00148;0.00148;0.00146
